Postcode,Borough,Neighbourhood
M1A,Not assigned,Not assigned
M1B,Scarborough,Rouge
M1B,Scarborough,Malvern
M1C,Scarborough,Rouge Hill
M1C,Scarborough,Port Union
M1C,Scarborough,Highland Creek
M1E,Scarborough,West Hill
M1E,Scarborough,Morningside
M1E,Scarborough,Guildwood
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1K,Scarborough,Kennedy Park
M1K,Scarborough,Ionview
M1K,Scarborough,East Birchmount Park
M1L,Scarborough,Oakridge
M1L,Scarborough,Golden Mile
M1L,Scarborough,Clairlea
M1M,Scarborough,Scarborough Village West
M1M,Scarborough,Cliffside
M1M,Scarborough,Cliffcrest
M1N,Scarborough,Cliffside West
M1N,Scarborough,Birch Cliff
M1P,Scarborough,Wexford Heights
M1P,Scarborough,Scarborough Town Centre
M1P,Scarborough,Dorset Park
M1R,Scarborough,Wexford
M1R,Scarborough,Maryvale
M1S,Scarborough,Agincourt
M1T,Scarborough,Tam O'Shanter
M1T,Scarborough,Sullivan
M1T,Scarborough,Clarks Corners
M1V,Scarborough,Steeles East
M1V,Scarborough,Milliken
M1V,Scarborough,L'Amoreaux East
M1V,Scarborough,Agincourt North
M1W,Scarborough,L'Amoreaux West
M1X,Scarborough,Upper Rouge
M1Y,Not assigned,Not assigned
M1Z,Not assigned,Not assigned
M2A,Not assigned,Not assigned
M2B,Not assigned,Not assigned
M2C,Not assigned,Not assigned
M2E,Not assigned,Not assigned
M2G,Not assigned,Not assigned
M2H,North York,Hillcrest Village
M2J,North York,Oriole
M2J,North York,Henry Farm
M2J,North York,Fairview
M2K,North York,Bayview Village
M2L,North York,York Mills
M2L,North York,Silver Hills
M2M,North York,Willowdale
M2M,North York,Newtonbrook
M2N,North York,Willowdale South
M2P,North York,York Mills West
M2R,North York,Willowdale West
M2S,Not assigned,Not assigned
M2T,Not assigned,Not assigned
M2V,Not assigned,Not assigned
M2W,Not assigned,Not assigned
M2X,Not assigned,Not assigned
M2Y,Not assigned,Not assigned
M2Z,Not assigned,Not assigned
M3A,North York,Parkwoods
M3B,North York,Don Mills North
M3C,North York,Flemingdon Park
M3C,North York,Don Mills South
M3E,Not assigned,Not assigned
M3G,Not assigned,Not assigned
M3H,North York,Wilson Heights
M3H,North York,Downsview North
M3H,North York,Bathurst Manor
M3J,North York,York University
M3J,North York,Northwood Park
M3K,North York,Downsview East
M3K,North York,CFB Toronto
M3L,North York,Downsview West
M3M,North York,Downsview Central
M3N,North York,Downsview Northwest
M3P,Not assigned,Not assigned
M3R,Not assigned,Not assigned
M3S,Not assigned,Not assigned
M3T,Not assigned,Not assigned
M3V,Not assigned,Not assigned
M3W,Not assigned,Not assigned
M3X,Not assigned,Not assigned
M3Y,Not assigned,Not assigned
M3Z,Not assigned,Not assigned
M4A,North York,Victoria Village
M4B,East York,Woodbine Gardens
M4B,East York,Parkview Hill
M4C,East York,Woodbine Heights
M4E,East Toronto,The Beaches
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
